"","year","state","month","number","date"
"1",1998,"Acre","January",0,1998-01-01
"2",1999,"Acre","January",0,1999-01-01
"3",2000,"Acre","January",0,2000-01-01
"4",2001,"Acre","January",0,2001-01-01
"5",2002,"Acre","January",0,2002-01-01
"6",2003,"Acre","January",10,2003-01-01
"7",2004,"Acre","January",0,2004-01-01
"8",2005,"Acre","January",12,2005-01-01
"9",2006,"Acre","January",4,2006-01-01
"10",2007,"Acre","January",0,2007-01-01
"11",2008,"Acre","January",0,2008-01-01
"12",2009,"Acre","January",0,2009-01-01
"13",2010,"Acre","January",1,2010-01-01
"14",2011,"Acre","January",0,2011-01-01
"15",2012,"Acre","January",0,2012-01-01
"16",2013,"Acre","January",0,2013-01-01
"17",2014,"Acre","January",0,2014-01-01
"18",2015,"Acre","January",1,2015-01-01
"19",2016,"Acre","January",12,2016-01-01
"20",2017,"Acre","January",0,2017-01-01
"21",1998,"Acre","February",0,1998-01-01
"22",1999,"Acre","February",0,1999-01-01
"23",2000,"Acre","February",0,2000-01-01
"24",2001,"Acre","February",0,2001-01-01
"25",2002,"Acre","February",1,2002-01-01
"26",2003,"Acre","February",0,2003-01-01
"27",2004,"Acre","February",3,2004-01-01
"28",2005,"Acre","February",0,2005-01-01
"29",2006,"Acre","February",0,2006-01-01
"30",2007,"Acre","February",5,2007-01-01
"31",2008,"Acre","February",0,2008-01-01
"32",2009,"Acre","February",2,2009-01-01
"33",2010,"Acre","February",0,2010-01-01
"34",2011,"Acre","February",0,2011-01-01
"35",2012,"Acre","February",0,2012-01-01
"36",2013,"Acre","February",0,2013-01-01
"37",2014,"Acre","February",0,2014-01-01
"38",2015,"Acre","February",2,2015-01-01
"39",2016,"Acre","February",5,2016-01-01
"40",2017,"Acre","February",1,2017-01-01
"41",1998,"Acre","March",0,1998-01-01
"42",1999,"Acre","March",0,1999-01-01
"43",2000,"Acre","March",11,2000-01-01
"44",2001,"Acre","March",0,2001-01-01
"45",2002,"Acre","March",0,2002-01-01
"46",2003,"Acre","March",0,2003-01-01
"47",2004,"Acre","March",0,2004-01-01
"48",2005,"Acre","March",3,2005-01-01
"49",2006,"Acre","March",0,2006-01-01
"50",2007,"Acre","March",2,2007-01-01
"51",2008,"Acre","March",0,2008-01-01
"52",2009,"Acre","March",1,2009-01-01
"53",2010,"Acre","March",0,2010-01-01
"54",2011,"Acre","March",0,2011-01-01
"55",2012,"Acre","March",1,2012-01-01
"56",2013,"Acre","March",2,2013-01-01
"57",2014,"Acre","March",1,2014-01-01
"58",2015,"Acre","March",2,2015-01-01
"59",2016,"Acre","March",0,2016-01-01
"60",2017,"Acre","March",0,2017-01-01
"61",1998,"Acre","April",0,1998-01-01
"62",1999,"Acre","April",0,1999-01-01
"63",2000,"Acre","April",1,2000-01-01
"64",2001,"Acre","April",0,2001-01-01
"65",2002,"Acre","April",0,2002-01-01
"66",2003,"Acre","April",1,2003-01-01
"67",2004,"Acre","April",2,2004-01-01
"68",2005,"Acre","April",1,2005-01-01
"69",2006,"Acre","April",0,2006-01-01
"70",2007,"Acre","April",0,2007-01-01
"71",2008,"Acre","April",0,2008-01-01
"72",2009,"Acre","April",0,2009-01-01
"73",2010,"Acre","April",3,2010-01-01
"74",2011,"Acre","April",2,2011-01-01
"75",2012,"Acre","April",1,2012-01-01
"76",2013,"Acre","April",19,2013-01-01
"77",2014,"Acre","April",7,2014-01-01
"78",2015,"Acre","April",3,2015-01-01
"79",2016,"Acre","April",0,2016-01-01
"80",2017,"Acre","April",1,2017-01-01
"81",1998,"Acre","May",0,1998-01-01
"82",1999,"Acre","May",0,1999-01-01
"83",2000,"Acre","May",1,2000-01-01
"84",2001,"Acre","May",0,2001-01-01
"85",2002,"Acre","May",0,2002-01-01
"86",2003,"Acre","May",6,2003-01-01
"87",2004,"Acre","May",7,2004-01-01
"88",2005,"Acre","May",2,2005-01-01
"89",2006,"Acre","May",8,2006-01-01
"90",2007,"Acre","May",1,2007-01-01
"91",2008,"Acre","May",0,2008-01-01
"92",2009,"Acre","May",3,2009-01-01
"93",2010,"Acre","May",9,2010-01-01
"94",2011,"Acre","May",3,2011-01-01
"95",2012,"Acre","May",3,2012-01-01
"96",2013,"Acre","May",4,2013-01-01
"97",2014,"Acre","May",1,2014-01-01
"98",2015,"Acre","May",2,2015-01-01
"99",2016,"Acre","May",21,2016-01-01
"100",2017,"Acre","May",10,2017-01-01
"101",1998,"Acre","June",3,1998-01-01
"102",1999,"Acre","June",0,1999-01-01
"103",2000,"Acre","June",1,2000-01-01
"104",2001,"Acre","June",1,2001-01-01
"105",2002,"Acre","June",0,2002-01-01
"106",2003,"Acre","June",0,2003-01-01
"107",2004,"Acre","June",5,2004-01-01
"108",2005,"Acre","June",27,2005-01-01
"109",2006,"Acre","June",1,2006-01-01
"110",2007,"Acre","June",4,2007-01-01
"111",2008,"Acre","June",0,2008-01-01
"112",2009,"Acre","June",0,2009-01-01
"113",2010,"Acre","June",1,2010-01-01
"114",2011,"Acre","June",10,2011-01-01
"115",2012,"Acre","June",7,2012-01-01
"116",2013,"Acre","June",8,2013-01-01
"117",2014,"Acre","June",17,2014-01-01
"118",2015,"Acre","June",40,2015-01-01
"119",2016,"Acre","June",87,2016-01-01
"120",2017,"Acre","June",45,2017-01-01
"121",1998,"Acre","July",37,1998-01-01
"122",1999,"Acre","July",1,1999-01-01
"123",2000,"Acre","July",1,2000-01-01
"124",2001,"Acre","July",3,2001-01-01
"125",2002,"Acre","July",39,2002-01-01
"126",2003,"Acre","July",168,2003-01-01
"127",2004,"Acre","July",42,2004-01-01
"128",2005,"Acre","July",368,2005-01-01
"129",2006,"Acre","July",33,2006-01-01
"130",2007,"Acre","July",29,2007-01-01
"131",2008,"Acre","July",41,2008-01-01
"132",2009,"Acre","July",31,2009-01-01
"133",2010,"Acre","July",126,2010-01-01
"134",2011,"Acre","July",93,2011-01-01
"135",2012,"Acre","July",71,2012-01-01
"136",2013,"Acre","July",54,2013-01-01
"137",2014,"Acre","July",60,2014-01-01
"138",2015,"Acre","July",109,2015-01-01
"139",2016,"Acre","July",533,2016-01-01
"140",2017,"Acre","July",457,2017-01-01
"141",1998,"Acre","August",130,1998-01-01
"142",1999,"Acre","August",63,1999-01-01
"143",2000,"Acre","August",136,2000-01-01
"144",2001,"Acre","August",396,2001-01-01
"145",2002,"Acre","August",728,2002-01-01
"146",2003,"Acre","August",1.976,2003-01-01
"147",2004,"Acre","August",645,2004-01-01
"148",2005,"Acre","August",4.198,2005-01-01
"149",2006,"Acre","August",839,2006-01-01
"150",2007,"Acre","August",960,2007-01-01
"151",2008,"Acre","August",445,2008-01-01
